"Year","Ensemble","Proportion","TargetValue","TargetType"
0,1,0.688782424462217,15.43,"nesting"
0,2,0.688782424462217,15.43,"nesting"
0,3,0.688782424462217,15.43,"nesting"
0,4,0.688782424462217,15.43,"nesting"
0,5,0.688782424462217,15.43,"nesting"
0,6,0.688782424462217,15.43,"nesting"
0,7,0.688782424462217,15.43,"nesting"
0,8,0.688782424462217,15.43,"nesting"
0,9,0.688782424462217,15.43,"nesting"
0,10,0.688782424462217,15.43,"nesting"
0,11,0.688782424462217,15.43,"nesting"
0,12,0.688782424462217,15.43,"nesting"
0,13,0.688782424462217,15.43,"nesting"
0,14,0.688782424462217,15.43,"nesting"
0,15,0.688782424462217,15.43,"nesting"
0,16,0.688782424462217,15.43,"nesting"
0,17,0.688782424462217,15.43,"nesting"
0,18,0.688782424462217,15.43,"nesting"
0,19,0.688782424462217,15.43,"nesting"
0,20,0.688782424462217,15.43,"nesting"
0,21,0.688782424462217,15.43,"nesting"
0,22,0.688782424462217,15.43,"nesting"
0,23,0.688782424462217,15.43,"nesting"
0,24,0.688782424462217,15.43,"nesting"
0,25,0.688782424462217,15.43,"nesting"
0,26,0.688782424462217,15.43,"nesting"
0,27,0.688782424462217,15.43,"nesting"
0,28,0.688782424462217,15.43,"nesting"
0,29,0.688782424462217,15.43,"nesting"
0,30,0.688782424462217,15.43,"nesting"
0,31,0.688782424462217,15.43,"nesting"
0,32,0.688782424462217,15.43,"nesting"
0,33,0.688782424462217,15.43,"nesting"
0,34,0.688782424462217,15.43,"nesting"
0,35,0.688782424462217,15.43,"nesting"
0,36,0.688782424462217,15.43,"nesting"
0,37,0.688782424462217,15.43,"nesting"
0,38,0.688782424462217,15.43,"nesting"
0,39,0.688782424462217,15.43,"nesting"
0,40,0.688782424462217,15.43,"nesting"
0,41,0.688782424462217,15.43,"nesting"
0,42,0.688782424462217,15.43,"nesting"
0,43,0.688782424462217,15.43,"nesting"
0,44,0.688782424462217,15.43,"nesting"
0,45,0.688782424462217,15.43,"nesting"
0,46,0.688782424462217,15.43,"nesting"
0,47,0.688782424462217,15.43,"nesting"
0,48,0.688782424462217,15.43,"nesting"
0,49,0.688782424462217,15.43,"nesting"
0,50,0.688782424462217,15.43,"nesting"
1,1,0.543604817621347,15.43,"nesting"
1,2,0.567330266648852,15.43,"nesting"
1,3,0.608673245404745,15.43,"nesting"
